"","Search","Program","Date","Title","Company","Location","Description"
"16","database administrator","MSIS","2022-09-22","Database Administrator","UIC Alaska","Hill AFB, UT","* Overview: * *   DATABASE ADMINISTRATOR (WSSA-22-0968-W):* * * *   Bowhead seeks a Database Administrator to join our team at Hill AFB, UT to support the A-10 Weapon System Support, Analysis, Test, and Integration contract. The A-10 WSSATI contract is critical in supporting the A-10C weapon system (and any future Mission Design Series - MDS), and in facilit..."
"17","data analyst","MSBA","2022-09-22","Business Data Analyst, NEMSIS","University of Utah","Salt Lake City, UT 84112 (East Bench area)","* *  Announcement *  *   *    *     Details *    *    *    *     *      *       *        Open Date*        *       *        09/19/2022*        *      *      *       *        Requisition Number*        *       *        PRN32361B*        *      *      *       *        Job Title*        *       *        Business Data Analyst*        *      *      *       *     ..."
"18","data scientist","MSBA","2022-09-22","General Engineer - Data Scientist/Statistician/Mathematician...","US Veterans Health Administration","Salt Lake City, UT","* *  Duties *  ***This position will be associated with an opportunity for appointment as tenure-track Professor/Associate Professor at the University of Utah School of Medicine.*** *  Drives clinical process improvement associated with informatics implementations *   This role requires a high degree of inventiveness and deep understanding of process analyti..."
"19","data scientist","MSBA","2022-09-22","Junior Data Scientist / Business Analyst","Young & Partners LLP","Sandy, UT 84070","* Young & Partners, LLP in Sandy, UT is calling all tech nerds to help steer our fast-growing company as a full-time Junior Data Scientist / Business Analyst. Can you extract business and operational data, then create data visualizations and recommendations? Do you have mad data analytics and statistical skills? Are you looking to advance your career with a ..."
"20","data architect","MSIS","2022-09-21","Sr. Data Architect","3PL Central","Remote in Salt Lake City, UT","* Extensiv is a visionary technology leader focused on creating the future of omnichannel fulfillment. Through our unrivaled network of more than 2,000 connected 3PLs and a suite of integrated, cloud-native warehouse, order, and inventory management platforms we allow modern merchants and brands to fulfill demand anywhere with superior flexibility and scale ..."
"21","data engineer","MSIS","2022-09-21","Data Engineer III","Alldus","Salt Lake City, UT","* Data Engineer III * We are currently recruiting a Data Engineer III for a global manufacturing company in Utah. * As a Data Engineer III, they will help users and data analysts with different data processes needed to grow and operate the business. They will also make certain that data pipelines are highly effective, organized, and dependable. * Responsibil..."
"22","data analyst","MSBA","2022-09-21","Senior Data Analyst, Finance Reporting","Circle","Remote in Salt Lake City, UT 84111","* *  Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Cir..."
"23","data analyst","MSBA","2022-09-21","Data Analyst-Technical-Staff","Intermountain Healthcare","Salt Lake City, UT","* Job Description: This position focuses the majority of their time producing analytical solutions (reports, dashboards, tools, etc.) for leadership and stakeholders across the organization that supports business or clinical initiatives. This position provides consultation and support in the development, analysis, interpretation, and management of a variety ..."
"24","security systems engineer","MSCM","2022-09-21","Specialist, Information Security Systems Engineer (ISSE)","L3Harris Technologies","Salt Lake City, UT 84116 (Jordan Meadows area)+1 location","* Description: * Job Title: Specialist, Information Security Systems Engineer *  Job Location: Salt Lake City-UT *  Job Code: CS20210612-73773 *  * L3Harris’ Communication Systems segment is currently seeking a Specialist, Information Security Systems Engineer to join our team. This position will be based at our Salt Lake City-UT facility. *  Position Overvi..."
"25","security analyst","MSCM","2022-09-21","Jr. Cyber Security Analyst","LHM Management Corp","Hybrid remote in Sandy, UT 84070","** Jr. Cyber Security Analyst*  As a member of the cyber security team at the Larry H. Miller Company, you’ll not only work on securing company assets, but you’ll also collaborate with professionals in a variety of disciplines. On any given day you’ll spend time on:*  Implementing controls to protect critical assets*   Managing ongoing operation of security-..."
"26","data analyst","MSBA","2022-09-21","Billing Data Analyst","NICE CXone","Hybrid remote in Salt Lake City, UT","* Billing Data Analyst*  Location: Salt Lake City, UT (office based, hybrid work schedule) The primary purpose of the Billing Data Analyst is to design and develop Billing related solutions through the writing of SQL reports, code, and stored procedures / functions. This position responds to internal customers for custom reporting and queries. The Billing Da..."
"27","security manager","MSCM","2022-09-21","Safety & Security Manager","Nu Skin","Provo, UT 84601 (Central Business District area)","* *  About Us:* * *   Nu Skin Enterprises, Inc. (NYSE: NUS) is a global beauty and wellness company, powered by a dynamic affiliate opportunity platform. We help people look, feel and live their best with products that combine the best of science, technology and nature. Backed by more than 35 years of scientific research, Nu Skin develops innovative products..."
"28","cloud engineer","MSIS","2022-09-21","Senior Cloud Engineer","Pearson","Salt Lake City, UT 84190","* We are the world's learning company with more than 24,000 employees operating in 70 countries. We combine world-class educational content and assessment, powered by services and technology, to enable more effective teaching and personalized learning at scale. We believe that wherever learning flourishes so do people. * You will design and implement the con..."
"29","data engineer","MSIS","2022-09-21","Analyst 3, Senior Data Engineer","Salt Lake Community College","Salt Lake City, UT 84123","* *  The Data Science & Analytics department at Salt Lake Community College (SLCC) is seeking a Senior Data Engineer to help the college innovate its use of data and build institutional capacity for evidence-based, data-informed planning, and decision-making. This position will directly influence student success by providing actionable datasets to faculty, s..."
"30","data warehouse architect","MSIS","2022-09-21","Analyst 3, Senior Data Engineer","Salt Lake Community College","Salt Lake City, UT 84123","* *  The Data Science & Analytics department at Salt Lake Community College (SLCC) is seeking a Senior Data Engineer to help the college innovate its use of data and build institutional capacity for evidence-based, data-informed planning, and decision-making. This position will directly influence student success by providing actionable datasets to faculty, s..."
"31","data analyst","MSBA","2022-09-21","Acct Recon Data Analyst","Select Portfolio Servicing","Salt Lake City, UT 84119","Acct Recon Data AnalystReconcile bank accounts and cash received on incoming and outgoing loan transfers. Timely and accurate daily reconciliation of appropriate bank accounts and loan level activities. Requires a good understanding of corporate advance systems and reconciling tools. Ability to relate with internal and external customers during each process...."
"32","data analyst","MSBA","2022-09-21","Account Reconciliation Data Analyst","SPS","Salt Lake City, UT 84119","Reconcile bank accounts and cash received on incoming and outgoing loan transfers. Timely and accurate daily reconciliation of appropriate bank accounts and loan level activities. Requires a good understanding of corporate advance systems and reconciling tools. Ability to relate with internal and external customers during each process. *Principal Duties:* 1...."
"33","data analyst","MSBA","2022-09-21","HR Technical Data Analyst","The Church of Jesus Christ of Latter-day Saints","Salt Lake City, UT 84103 (Capitol Hill area)","* An HRIS specialist working on the HR Data team who is focused on the technical aspects of managing and sharing workforce data in a way that enables clean, reliable and accessible information used to identify business opportunities and business solutions. Works independently to solve complex problems and is recognized as a specialist of workforce and timeke..."
"34","security analyst","MSCM","2022-09-21","Jr. Cyber Security Analyst","The Larry H. Miller Company","Hybrid remote in Sandy, UT 84070","Jr. Cyber Security AnalystAs a member of the cyber security team at the Larry H. Miller Company, you’ll not only work on securing company assets, but you’ll also collaborate with professionals in a variety of disciplines. On any given day you’ll spend time on:*Implementing controls to protect critical assets* Managing ongoing operation of security-related pr..."
"35","data analyst","MSBA","2022-09-21","Business Information Analyst - MDM ART","Zions Bancorporation","Midvale, UT 84047","Zions Bancorporation seeks a detail-oriented, creative, and energetic MDM Information Analyst to assist with business requirements and integration of data into our Customer Data ART (Agile Release Train). In this exciting role, you will work with subject matter experts and design experts to map data elements, analyze data from new sources, and support data i..."
"36","database administrator","MSIS","2022-09-05","Remote Senior Database Administrator","First American Financial Corporation","Remote in Salt Lake City, UT 84111","* Company Summary* *  Join a team that puts its People First! Since 1889, First American (NYSE: FAF) has held an unwavering belief in its people. They are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. Our inclusive, ..."
"37","security analyst","MSCM","2022-09-05","Security Analyst II","TEKsystems","Hybrid remote in Salt Lake City, UT 84101","Equivalent Experience ** Description:*  We are looking for a Security Operations Center (SOC) Analyst II to take on an exciting role in Salt Lake City, UT. This is an intermediate level security position perfect for those seeking to build their security skills and advance their cyber security careers. This individual will report directly to the SOC manager a..."
"38","data engineer","MSIS","2022-09-04","2023 University Graduate - Data Engineer","Adobe","Lehi, UT 84043","* *  Our Company*   Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies intera..."
"39","data architect","MSIS","2022-09-04","User Experience Designer","Cloudbeds","Remote in Salt Lake City, UT 84044","** Cloudbeds is the hospitality industry's fastest-growing technology provider for independent hotels, hostels, vacation rentals, and hotel groups. Our award-winning Cloudbeds Hospitality Platform is currently helping a growing clientele of 22,000+ properties in 157 countries to increase revenue, streamline operations, and deliver memorable guest experiences..."
"40","data engineer","MSIS","2022-09-04","Junior Data Science Engineer","Leidos","Salt Lake City, UT","* Description * Job Description:*  The Defense Group at Leidos has an opening for a Junior Data Science Engineer for the Global Solutions Management – Operations II (GSM-O II) contract. This contract includes the Operations, Sustainment, Maintenance, Repair and Defense of the Defense Information System Network (DISN) within the DOD Information Network (DODIN..."
"41","data scientist","MSBA","2022-09-04","Full Stack Software Engineer, Machine Learning R&D","Proofpoint","Draper, UT","* *  It's fun to work in a company where people truly BELIEVE in what they're doing!* * * *   We're committed to bringing passion and customer focus to the business.* * * *   The ML-Labs organization within Proofpoint has ushered the next wave of intelligent features into the cybersecurity and compliance products of the company. We seek a Full Stack Software..."
"42","data analyst","MSBA","2022-09-04","Senior Data Analyst - Finance & Commerce","TripActions","Salt Lake City, UT","* At TripActions, ""It's all about the user. All of them."" We're passionate about providing a seamless one-stop experience for business travelers, no matter how they travel, where they stay, or where they're going. *  As one of our Senior Data Analysts of our global Data team, you will work closely with the finance department and other stakeholders from acros..."
"43","database administrator","MSIS","2022-09-03","Senior SQL Server Database Administrator","Bigbear.ai","Hill AFB, UT 84056","* Overview: *  BigBear.ai is seeking an Senior SQL Server Database Administrator to join our team at Hill Air Force Base, in Utah. This role is funded on our new 18-year contract supporting the Air Force Nuclear Weapon Center.*  This role provides support to the Information Services (IS) team in the Strategic Systems, Air and Space Force Solutions business. ..."
"44","data scientist","MSBA","2022-09-03","Data Scientist in Marketing Science","eBay Inc.","Salt Lake City, UT","* Looking for a company that inspires passion, courage and creativity, where you can be on the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to crafting an ambitious and inclusive work environment, jo..."
"45","cybersecurity analyst","MSCM","2022-09-03","Cybersecurity Analyst","Leidos","Hill AFB, UT","* Description * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, Uta..."
"46","security analyst","MSCM","2022-09-03","Cybersecurity Analyst","Leidos","Hill AFB, UT","* Description * Job Description:*  Are you ready to join an impactful company? Leidos is a Fortune 500® technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, civil, and health markets.*  Leidos has a current job opportunity for a Cybersecurity Analyst at Hill AFB, Uta..."
"47","database administrator","MSIS","2022-09-03","Database Management Developer","Leidos","Salt Lake City, UT","* Description * Job Description:*  The NISC IV program at Leidos is looking for a Database Management Developer!*  The candidate will provide database management developer support for the electronic management of all Environmental, Occupational Safety and Health (EOSH) compliance data and information for the Federal Aviation Administration (FAA). Areas of su..."
"48","data scientist","MSBA","2022-09-03","Quality Assurance Analyst II","Mastercard","Salt Lake City, UT","** *  Our Purpose* * * *   We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest ..."
"49","security consultant","MSCM","2022-09-03","Security Consultant (Remote - East Coast)","MATRIX Resources","Remote in Salt Lake City, UT 84101","* Come work for this global leader in assurance, tax, transaction, and advisory services to be a part of building a better working world for customers and communities.Position: Security ConsultantLocation: Remote - East CoastTerm: 6 Months ContractDay-to-day Responsibilities: * *   *    Review security architectures and provide pragmatic security guidance th..."
"50","data scientist","MSBA","2022-09-03","Data Scientist","NERD UNITED DAO LLC","Lehi, UT 84043","Data Scientist – Nerd United*We are a bunch of Nerds making waves in the Web 3.0 space. We are well funded and in a state of hyper-growth. This Data Scientist role will be right in the middle of the innovation process – working to ensure that we are collecting the right data and working to build the right data products that will make impacts across Nerd. Spe..."
"51","data scientist","MSBA","2022-09-03","Products & Solutions - Data Scientist","PRICE WATERHOUSE COOPERS","Remote in Salt Lake City, UT 84111","* A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver. Our clients expect us to bring the right people and the right technology to solve their biggest problems; Products and Technology is here to help PwC meet that challenge and accelerate the growth of our busine..."
"52","data architect","MSIS","2022-09-03","Data Architect","University of Utah","Salt Lake City, UT 84112 (East Bench area)","* *  Announcement *  *   *    *     Details *    *    *    *     *      *       *        Open Date*        *       *        09/02/2022*        *      *      *       *        Requisition Number*        *       *        PRN32131B*        *      *      *       *        Job Title*        *       *        Data Architect*        *      *      *       *        Work..."
"53","data scientist","MSBA","2022-09-02","Senior Forecasting Data Scientist","Acima","Hybrid remote in Draper, UT 84020","* *  ACIMA*  * *   Acima Credit is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available to them. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for tho..."
"54","data analyst","MSBA","2022-09-02","Data Analyst","Aristotle","Provo, UT 84601","Come work in a startup like environment (small team, big challenges, massive growth opportunity, relaxed office culture) with solid company stability (30+ years) and benefits including health, regular holidays, 401K, PTO, and great office views. Together with our 200+ university research partners, we have built PredictIt.org, into the “The Stock Market of Po..."
"55","security analyst","MSCM","2022-09-02","Information Security Analyst","Continental Bank","Salt Lake City, UT 84101 (Downtown area)","Information Security Analyst*Position SummaryWe are hiring an information security analyst to work in our growing IT Security team. You will monitor our computer networks for security issues, install security software, and document any security issues or breaches you find. To do well in this role you should have a bachelor's degree in computer science and ex..."
"56","information security analyst","MSCM","2022-09-02","Information Security Analyst","Continental Bank","Salt Lake City, UT 84101 (Downtown area)","Information Security Analyst*Position SummaryWe are hiring an information security analyst to work in our growing IT Security team. You will monitor our computer networks for security issues, install security software, and document any security issues or breaches you find. To do well in this role you should have a bachelor's degree in computer science and ex..."
"57","data engineer","MSIS","2022-09-02","Junior Data Science Engineer","Leidos","Salt Lake City, UT 84115","* Description * * Job Description:*  The Defense Group at Leidos has an opening for a Junior Data Science Engineer for the Global Solutions Management – Operations II (GSM-O II) contract. This contract includes the Operations, Sustainment, Maintenance, Repair and Defense of the Defense Information System Network (DISN) within the DOD Information Network (DOD..."
"58","database administrator","MSIS","2022-09-02","Database Administrator","Murray State University","Murray, UT","* *  Reporting to the Senior Database Administrator, Systems Administration, the Database Administrator implements and supports the institution’s activity related to selection, installation, configuration, maintenance and upgrades to enterprise and application databases as required.*  * Assists in the installation, configuration, maintenance and management o..."
"59","data scientist","MSBA","2022-09-02","Sentinel (GBSD) Principal Data Scientist / Sr Principal Data...","Northrop Grumman","Roy, UT 84067","* Requisition ID: R10065888 * Category: Research and Sciences *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 25% of the Time *  Positions Availab..."
"60","data analyst","MSBA","2022-09-02","Reliability Data Analyst II","PinnacleART","Salt Lake City, UT","* *  We are building a team of trailblazers, who embody growth, impact, and excellence.* * * *   Job Description* * * *   Job Duties* *  Solve complex reliability problems using professional judgment to ensure tasks include the appropriate level of assessment, analysis, and evaluation while following best practices and RAGAGEP*   With minimal procedural guid..."
"61","data scientist","MSBA","2022-09-02","Senior Forecasting Data Scientist","RAC Brands","Hybrid remote in Draper, UT 84020","* ACIMA *  Acima Credit is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available to them. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands o..."
"62","data engineer","MSIS","2022-09-02","Data Engineer","Savage Services","Salt Lake City, UT+1 location","With over 75 years in business, Savage provides stability and growth opportunities for it's Team Members by always doing what is right, in balance, for the Company, Team Members, and customers. We are progressive, relentlessly seeking improvement in all that we do. If you'd like to opportunity to make a difference, come work with us! *These are just a few of..."
"63","data engineer","MSIS","2022-09-02","Junior Data Engineer","Serenity Healthcare","Lehi, UT 84043","* *  Junior Data Engineer*  * * *  Serenity Healthcare is hiring a Junior Data Engineer in our Lehi, UT headquarters. While previous ETL experience is preferred, we are open to exceptional entry-level talent for this role.*  * *  We intend to provide on the job training in data-skills: SQL, BI (*  PowerBI), ETL (*  SSIS), Warehousing (SQL Stored Procedures),..."
"64","data analyst","MSBA","2022-09-02","Lead Data Analyst","Serenity Healthcare","Lehi, UT 84043","* *  *   *    *     *      Lead Data Analyst*      *     *     *      Serenity Healthcare is looking for a seasoned data analyst for our Lehi, UT headquarters. Title will depend on prior experience. Preference given to those with full time experience in SQL, building/managing data pipelines, and Exploratory Data Analysis.*      *     *     *      Desired ski..."
"65","security analyst","MSCM","2022-09-02","Lead Information Security Analyst","WELLS FARGO BANK","Salt Lake City, UT","* About this role:*  Wells Fargo is seeking a Lead Information Security Analyst with experience in maturing, transforming, and driving program initiatives for our organization's security monitoring, application and software development, incident response, threat hunting, and other cyber security initiatives. The candidate will support large-scale enterprise ..."
"66","information security analyst","MSCM","2022-09-02","Lead Information Security Analyst","WELLS FARGO BANK","Salt Lake City, UT","* About this role:*  Wells Fargo is seeking a Lead Information Security Analyst with experience in maturing, transforming, and driving program initiatives for our organization's security monitoring, application and software development, incident response, threat hunting, and other cyber security initiatives. The candidate will support large-scale enterprise ..."
"67","data architect","MSIS","2022-09-01","Solutions Consultant","Adobe","Lehi, UT 84043","* *  Our Company*   Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies intera..."
"68","data architect","MSIS","2022-09-01","OIT Product/Service Manager (Data)","Brigham Young University","Provo, UT 84602 (University area)","* Data Management Product/Service Manager*  Are you ready to make a difference? BYU’s Service Managers (sometimes known as Product Managers in the industry) impact thousands of students, faculty, and staff every day! We use leading-edge systems and state-of-the-art technologies to support our nationally ranked university. BYU/OIT (Office of Information Techn..."
"69","cybersecurity consultant","MSCM","2022-09-01","Cybersecurity Consultant-Energy, Sustainability & Infrastruc...","Guidehouse","Salt Lake City, UT","* Overview: * *   Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technolo..."
"70","security consultant","MSCM","2022-09-01","Cybersecurity Consultant-Energy, Sustainability & Infrastruc...","Guidehouse","Salt Lake City, UT","* Overview: * *   Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technolo..."
"71","security architect","MSCM","2022-09-01","Cloud Security Architect - Remote","KPMG","Remote in Salt Lake City, UT 84101","* Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative exc..."
"72","security analyst","MSCM","2022-09-01","Industrial Security Analyst (Secret Clearance Required)","Northrop Grumman","Roy, UT 84067","* Requisition ID: R10064713 * Category: Security *  Location: Roy, Utah, United States of America *  Citizenship Required: United States Citizenship *  Clearance Type: Secret *  Telecommute: No- Teleworking not available for this position *  Shift: 1st Shift (United States of America) *  Travel Required: Yes, 10% of the Time *  Positions Available: 1* *  At ..."
"73","cloud engineer","MSIS","2022-09-01","Senior DevOps Engineer - Site Reliability Engineering (Remot...","Progressive Leasing","Draper, UT","* Job Description: * *   Progressive Leasing is a leading provider of in-store and e-commerce lease-to-own solutions. As an almost 20+ year old FinTech company that has gone from start-up to industry leader, we know how to innovate, simplify, and value all people. We are a company founded on our grit and we are constantly looking to the future. As an ever-ev..."
"74","data engineer","MSIS","2022-09-01","Data Engineer","Savage Services","Salt Lake City, UT","With over 75 years in business, Savage provides stability and growth opportunities for it's Team Members by always doing what is right, in balance, for the Company, Team Members, and customers. We are progressive, relentlessly seeking improvement in all that we do. If you'd like to opportunity to make a difference, come work with us! *These are just a few of..."
"75","chief information security officer","MSCM","2022-09-01","Chief Information Security Officer","Snap Finance","Salt Lake City, UT 84119","* Snap Finance is a rapidly growing FinTech company focused on digital disruption in the $1+ trillion financial services industry. Our proprietary technology platform and machine-learning decisioning algorithms are changing the face and pace of consumer retail finance. FinTech is the combination of technology and finance and is at the forefront of the next g..."
"76","data engineer","MSIS","2022-09-01","Staff Data Engineer","Thermo Fisher Scientific","Remote in Salt Lake City, UT","* *  Title: Staff Data Engineer *  Requisition ID: 216239BR * * * *  At Thermo Fisher Scientific, our work has a purpose. Our work requires passion and builds meaningful outcomes - our work matters. We share our expertise and technological advancements with customers, helping them make the world a better place. Whether they're discovering a cure for cancer, ..."
"77","data analyst","MSBA","2022-09-01","Lead Data Analyst","TripActions","Salt Lake City, UT","* At TripActions, ""It's all about the user. All of them."" We're passionate about providing a seamless one-stop experience for business travelers, no matter how they travel, where they stay, or where they're going. *  As one of our Lead Data Analysts of our global Data team, you will work closely with stakeholders from across the business including engineers,..."
"78","security manager","MSCM","2022-09-01","Regional Security Manager - Salt Lake City","U.S. Bank","Murray, UT","* At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicant..."
"79","security analyst","MSCM","2022-09-01","Sr. Lead Information Security Analyst - File Integrity Monit...","WELLS FARGO BANK","Salt Lake City, UT","* At Wells Fargo, we are looking for talented people who will put our customers at the center of everything we do. We are seeking candidates who embrace diversity, equity and inclusion in a workplace where everyone feels valued and inspired. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. * About this role: ..."
"80","information security analyst","MSCM","2022-09-01","Sr. Lead Information Security Analyst - File Integrity Monit...","WELLS FARGO BANK","Salt Lake City, UT","* At Wells Fargo, we are looking for talented people who will put our customers at the center of everything we do. We are seeking candidates who embrace diversity, equity and inclusion in a workplace where everyone feels valued and inspired. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. * About this role: ..."
