"","ID","Link","Work Model","Job_Type","Program"
"11","998fabaa5dfff4d369cdad71356e4e75","https://www.indeed.com/rc/clk?jk=cf094309dc1b7dac&fccid=a9e65846c0a6c220&vjs=3","Remote","Full-time","MSCM"
"12","bf6b16e33917388781087b09bb032e4e","https://www.indeed.com/rc/clk?jk=bc7764cf6c2d75ff&fccid=3021910c3311bda0&vjs=3","Remote","Full-time","MSCM"
"13","d9f80d6a71c35abc553f4e9488943f6c","https://www.indeed.com/rc/clk?jk=0019b7c5995e93d1&fccid=ec30305f52c011d2&vjs=3","Hybrid","Full-time","MSIS"
"14","c59f131514a7f4303bf5131d6e78ea44","https://www.indeed.com/rc/clk?jk=2775defd255b51c4&fccid=ec30305f52c011d2&vjs=3","Hybrid","Full-time","MSIS"
"15","1b64720dd2c835e4e905fb04ccb8f235","https://www.indeed.com/rc/clk?jk=6bd9ed290603ef10&fccid=16a97ed26c75bf2d&vjs=3","On-site","Part-time","MSCM"
"16","dcc8c4e0f505cabc256c14cc7e5e1d45","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCqc7l59ErwqckvFkfLr2hCGuRt9-I-IRQq7LS3aTyJ8gidLm0PUvXXWN0m8A0TkEJ4Rwgv5AIShcYEJwOHJUF3S88NNfVVsYfsl6FEz6cFxHMMHO_7nRIvtxLzl3Pq_nsx_Il87G8bDJ1hB2XkmQU7AMpJ7Bz-HQFySglu-Vdodjyviw3yOnFLq64ePacosiinKSr7c_dkwY77kHzrXpQlR8Cg6UkP-BCQDlaOpmPgdfYdm2zblmy5QRyR1QJNUFkBCCitkEWR8gP789ZL0CkEmzgcFithXqX2-CVADV8QM5SDQnSUm6AhPPoLSXeo8l7pZJVEsU_Yly5CDzl4cWrqtxfE-xkewfm5Ea7GRbuVFB0p4qyNJ6rAjlHc-rxIp30RwqxeWThLDf2kETslhLpTPebffzEkmuZNYnopRJsOHuMGF1CznIL1Kubi6Kw_pzUKtlyOmcxeFyqsaereXzNAI=&xkcb=SoCP-_M3YZCV4ybTrB0PbzkdCdPP&p=12&fvj=0&vjs=3","On-site","Part-time","MSCM"
"17","386af5fb975c1923b9fcfbad13707a1c","https://www.indeed.com/rc/clk?jk=d9fee77ed28abaee&fccid=d06afa4992ee7ab3&vjs=3","On-site","Part-time","MSCM"
"18","fbd544961e65e525ee422ab90bfbe7d0","https://www.indeed.com/rc/clk?jk=4532be94e03f46f5&fccid=d06afa4992ee7ab3&vjs=3","On-site","Part-time","MSIS"
"19","d09e11fc0a84072994047c9b35f719cf","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweF0vk9JRHgKW90ND8YmqRLAiaW9_wMmqzm9Brytp66x6VhB0CETMI9h40X5FYWIiAy0iltx_hnTN-x2ZpUiEy-aDxnOceguALmBiu0govZk496l0JHnptB6eE-hMSjY9FE3iRH2pgfrLpUSKYoSlH1qL3LTCZh8Cq7x8UwKYkFvyFufKGJGawAx3hsoBB_PEWYcpPpmRwCkjmlCYImhK3JIRqrPnHqzAoQ8jpvJ6onkmzb1lUVHK1hyZOE7ble4XX8e5hySllaBAf4dv6IZz8GqG8QfBhWvYchce1mn-esgoZfmHtZ8orkrlKQzlirAXVTIxNb1rbQJQV1Tjm9_n-ieyzpsTiBR8goZDNo85vBJEVzXtFtVfUospGTLepV0d06hfnagmcZqn9zdJ9ubgr6jjrHJY5PC54PdriikScwEUX0vOCFxEyJ6JKvsXd_ybLY-sI2UfgyZpFcj_ihGmqDdoTMH64BXRkubBHKRd0rleXf7RvmIFagSA1DCMc8PHonEaRAnrkRjWwNGXNxLMLTWf-pLZr9WqGx_5tjK4R-OF73C7WP2N-F3p9PMlF1y84sZ2vzoOTiaeY=&xkcb=SoC1-_M3YZCV4ybTrB0JbzkdCdPP&p=10&fvj=0&vjs=3","Hybrid","Part-time","MSCM"
"20","5ba9eb4936f0b99da5932b78031da630","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweF8V4ozHZ8DEZFyCOYqtsuBNwy4BA060_3fS5gu2SgCf4ZXYiTq9gD7-LgUsQ5oQ1SqhYjpEueveuGKm8Z2-FHKP3t5OfeAQIkg4TiQR5IQ9kZgeqbXjWD7F62bqlW5e-ed_48UOP8Jaoam1qPHeLK4vLS1MmYfNTjm4uQT-vs9HjoDRayrlnSRaVwTzHIO-dHLWFvEq7gKrI8ziEh0Cl6maXi6E6h1wOatJWoC2U0ybh1Hc2KCyNQTmLJC08_Vw2Q7L1RwHUXfpnZkjBCTYONckZTbBqExTLaVtwnCMXnPRTJDhTn-CKwmvusvNzvn4lr-gqVcAwauA6xdMD6fnpzoOVZCvwGsmeyEc-lSq0dyW1Gm7EHsDqybehvFzVm_g10xzSaLooiaYvAwIdjLiasC3_QyzZI0e773XS8tmeH4waXIhcmnoLBx-aSRC8neNVIdOCoXRuHAimlrKjS2vlXgVYS3vBizt-FEV4Sl6nIxE6IEefEskRmj6oMuNhhf-cc4Eh74f1vol0fiUPxqcrDWmLzBLoC3hgxIO4JdC_TaOk4Ghp80AOdMYiBSO5W2MKi838PxFOFcDU=&xkcb=SoCR-_M3YZCqFfAc3D0KbzkdCdPP&p=9&fvj=0&vjs=3","On-site","Part-time","MSIS"
"21","00ff1fc45b3871f209731dc5bd951768","https://www.indeed.com/rc/clk?jk=5987a1b5f7f332cd&fccid=aeb15e43a6800b9d&vjs=3","On-site","Part-time","MSIS"
"22","aadbe28d2f6f2e42b5d37d5e768242fc","https://www.indeed.com/rc/clk?jk=0ced76600420198c&fccid=31f4da5b0dd839b8&vjs=3","On-site","Part-time","MSBA"
"23","c1f40e9b33040f1f110018e032f2cb29","https://www.indeed.com/rc/clk?jk=90eb681d54dfb686&fccid=11619ce0d3c2c733&vjs=3","On-site","Full-time","MSCM"
"24","f08f3d617d35caa976d6dfcc9503b6d5","https://www.indeed.com/company/Om-Group-Inc/jobs/Data-Center-Cybersecurity-Lead-b506f0d4b388ba90?fccid=b7dc0a32cb270ce7&vjs=3","Hybrid","Full-time","MSCM"
"25","08e45890d52f36e37bc6e06d5ca61765","https://www.indeed.com/rc/clk?jk=e2c4c2900c044d48&fccid=3c38342724c75954&vjs=3","Remote","Part-time","MSBA"
"26","a19856bcfd44fba961e9fe1780b0f4d8","https://www.indeed.com/rc/clk?jk=f154590a0b43a8d6&fccid=2702aea035c2e7f9&vjs=3","On-site","Part-time","MSIS"
"27","984cd6eee03a4a4ad2f04324ea5af842","https://www.indeed.com/company/PCS-GLOBAL-TECH/jobs/Data-Analyst-29648f0648d664eb?fccid=252beafbd99a6037&vjs=3","On-site","Full-time","MSIS"
"28","9ae033f4468126365eca42ecd7f2fde2","https://www.indeed.com/company/PCS-GLOBAL-TECH/jobs/Entry-Level-Data-Analyst-5b4da5f1247128c9?fccid=252beafbd99a6037&vjs=3","On-site","Full-time","MSIS"
"29","9b4187788c0c6046d572f8d57ae9c966","https://www.indeed.com/rc/clk?jk=6c65ad1b16d7268e&fccid=5e964c4afc56b180&vjs=3","Hybrid","Part-time","MSBA"
"30","f9b92fd50edf30aa8d9db8cb1a95eb82","https://www.indeed.com/rc/clk?jk=a62ee72938563e4f&fccid=cf6970d70e9020b0&vjs=3","Remote","Full-time","MSCM"
"31","756404c9d0a869e6963673ff4e7d784e","https://www.indeed.com/rc/clk?jk=bb6601863235d428&fccid=ca6dcd2772155db0&vjs=3","Remote","Part-time","MSBA"
"32","2e0ebe54c293e11ef344a4cad67827e1","https://www.indeed.com/company/Providence-Group/jobs/HRIS-Analyst-Workday-1ae9d924ac09f2bf?fccid=7ae2455872f8fe97&vjs=3","On-site","Full-time","MSCM"
"33","7158ae38974137089c23759cd4c79512","https://www.indeed.com/rc/clk?jk=4c73f7378699a8d4&fccid=b1e4a7661b111d01&vjs=3","Remote","Part-time","MSIS"
"34","2b071a8fb7336291ea6e5da02fbf2464","https://www.indeed.com/rc/clk?jk=833f248cb0848286&fccid=d47118010b5e30d7&vjs=3","On-site","Full-time","MSBA"
"35","f27c5c2ffa00a7395727ca36c224354e","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWhkeqpyG73KuXFOwKkCK9wFGQesynBqbTELgU9TLb1rwFyFiOnDAOunLY2BK0qfYa-K-UfEbmXP388ilIdzfAYw7tAW8q0he2FuM54nACgGn_xH_l_5AmAX2jYPTWc6QOZJ32o0QLAEc8s7_ggNHk4rBOfs7eZ3qzV8O0D1KWl4ceYdIcyd0pco2zM0zOPskCQDbz2fU0y99ntXQqBkoF59BQTmVnUhiXvFI1OTALOyp2i6e9SylR-G0MAjpwAmzWws-IvEPa3XCnTCsJQKiZ6qo_is_cVE1gg4OBVd9rR9FUnhxRyrKYr46cknbEATS021z7kwb5tjh55YD8OZ0IHWTSrEvOEt6JV0XrZKk5qq1Sx_yJP1-5wtG1-sNwzwGBbcROQzopJmZYnj1GVBe3z53Jlyuy6DnhEu3_LXDY1kKB_dlIIOfl-s7yt9_w4m0PUtDm6dq-ifKOhmcFqclwbUHsMsrmAEkf9--ZdT2ulaai6Rm-eEnjxHJEFdcm7Hqh1lUSELuckw==&xkcb=SoDX-_M3YZCXXCXvWB0KbzkdCdPP&p=1&fvj=1&vjs=3","On-site","Full-time","MSCM"
"36","c004228de00f70126d088fd686e9c9fa","https://www.indeed.com/company/Spotter-Global/jobs/Electrical-Utility-Security-Manager-Guide-Product-Development-93f7fe16ce9345ad?fccid=7ae5d73be3c7ef1b&vjs=3","Hybrid","Full-time","MSCM"
"37","249f358a00081592888d94851ad0a63d","https://www.indeed.com/rc/clk?jk=6426197074b8ffdc&fccid=a9dfcf89bb8a97bb&vjs=3","On-site","Part-time","MSCM"
"38","8b0679c9ca7bad226f7efb38f5b0bb9c","https://www.indeed.com/rc/clk?jk=a4937507434b81f1&fccid=c672ec16b66c5acb&vjs=3","On-site","Part-time","MSCM"
"39","f7960a55df9d9ff9aca21536e196114e","https://www.indeed.com/rc/clk?jk=22d6bd520c3dbfbc&fccid=feba0a5a56890923&vjs=3","Hybrid","Part-time","MSIS"
"40","bd5595842b6f3b3e8aa481ddd17189e0","https://www.indeed.com/rc/clk?jk=07499d3ae7a6f238&fccid=e85676e729b7e887&vjs=3","Hybrid","Part-time","MSCM"
"41","3d1810bc3d37eba0b65f2b5281ade116","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChYVx_I3yfZ_JDY3EFoivtqvi_stwnZ_kRt8Dowt_l_d1ydueao4NE-oUleRJ4yhiOLdKJ7E3wUtZyLQW7E8EtFmzn_8koKePQD3pM1fT09BcngFG-9ThTfvGjLT0OB17PtIejRdfFjVbHn3i0p-3esp_odgPmNf6or2eqzqTi8KmPNIbSYV1HC_6-xW-V55ApVgzfSkJ0TS9Ss4LumHEZJl1wQXld-ZD95H0vCf2g5-Iqqlnj8wks5g4V59qx_-vYO_L30aXqexoIb8st0Z0Tp2u3TM3yucEWGf63KGoKIP3SCDdVesUWfYzKoMDgTOhDk7JRZCN9_bCwRRv20bsTILCzRgbvb9eES6ESrEQGdHrhJH6XH3QYehtQTXPwxEjilHdl6X6CYsHdFfvp3lK3yYvDKYLe8ymJN0-DNDtvmvxSNHktJEohiYQnC04AaQZB3d8H_rJy5fjaAv01NU493zwpJoKwXhkKb1MBPxmHC_cRo_stWRhen6hcBF5-D41LT_d0UQemX1XtqUqkqOTEGkYGOmvYZlaswahQ6KuYX2557AEahljqoLxABbJUuf7lFROAjEkak39aqr4h6LcUuKRcJR9wzIlJD0mH0OmxdJWWOvFBR_OCUom6xuTx0Eblt-OkbOr9FqrAM4olT_iBdNbiHh_NOQX7W5kh62Uo1kSHvUyl-UM4rkmPcYF_0dUg-6reW_gCx_raexAHUmCrV_wnEiPlHGS6Sn_N0VrKnqkCm1nqNX3gcJMQ8TxfCaR602fsem6kpv1g3v7Vgv2n34A61Qh8VGmFpN_cjVYiHLofglIgqG1bCaFT0XJtrfc4HNhfXd93drrgNq-pvCn6hQdtdxQLn0xOpNLzfLR88xhMcKAXDN_2RCw1MuGnWTDdfxoPBqTO65oPZgYgF0A-2PZXcu6hJtRTpIU8TlITIHmkek58Lcg3JhwqoF3VzqOCL9Buog1BM9zgK_xszzznN-2EVJZY1zwoa_TTxB4ktm8ievKgj4wefPJcSfff0fBE6mnZQ4PsyK0t7p4_X6_tMVHLYmliyBph1N9akZ57sJQ8sDBJh_2cSvGtY1eWqXo=&xkcb=SoCR-_M3YWt0ZH7Tgh0KbzkdCdPP&p=12&fvj=0&vjs=3","On-site","Part-time","MSIS"
"42","b8d54dd7b133ce8137870696c2dfbc97","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CF4JVNslpzfAXILsbLvZGlx_MnSSX6IlvFMKRxAuWvyNglqUY1WG5Q4RKPiClSt4VhBpqj1aWGZtfGveekZ-aurn7Imp260sVJ56slbKx-675b1XWW9qhaK4LnlYffrjTgOHREbdss99elhq1L9HbjCGHUNMEUwmnVdvAJFR3kTYEqwWHQUkih0cc7nUcxb5NlC9lx-G5R6comnzA1q888cFhUUt14inbXFERAgVEcfyHyiK-2fFSE7kO-Ka-hO9W-fEooherPfHcGS5Z9qikmT4Eh_EQEOy0hZINoBo8IGho2wc7Is9wrrspRqBJXEI4xEDTJxS_-x5EY_UcdZU7e1S-ia2QhXottSpPvMPkoBVwIWVGL_4slAa2yiN674dGm2lENnY-O6WPSUXTvUKdEGA6tAllqHQ_3xz1_8aQWGHorLo5UqLqYwUjChsZDaOHIQ5Una3H-gxbtE6C0DriKzVsM2vhKYMu6qEjMvSj_gyPvVBiRSEa2KqmX1e5qKhcCjL9oUAcyQUSydhsKqXMy4XPa8Z53m9w=&xkcb=SoDT-_M3YWt3uhxRjB0IbzkdCdPP&p=0&fvj=1&vjs=3","Hybrid","Full-time","MSIS"
"43","3e5881b73271749d0423be4292da6a12","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CF4JVNslpzfAXILsbLvZGlx_MnSSX6IlvFMKRxAuWvyNglqUY1WG5Q4RKPiClSt4VhBpqj1aWGZtfGveekZ-aurn7Imp260sVJ56slbKx-675b1XWW9qhaK4LnlYffrjTgOHREbdss99elhq1L9HbjCGHUNMEUwmnVdvAJFR3kTYEqwWHQUkihdZ_QiITNTyERQgbxjEAyeu01q6czY-7QAk2plrMx9ev_XNv_k0QY-BjjtZjpLT60d79904DwGTAoJCRhGTmwuv-AMkA1YM1HrvAiVleH6x4l6ljILb-uv4cYSeRRUbz1D01XFEPZTwUreL_8EjddcWyyLxAKP_9_NIwyQ-4OifN49a3wTX3k1vRoy-ALEVDVzemp8lcpgCSvo5ccQsnSGLEJrAVD3wlj-H1zPdA3k5CQJZ2Ek03qcTRPuvYSnRT3gAG9Tf_5vRGgFppfl2e6YiU3BVmM6VJi2rRMeTNeCy-cfhV7T-oJsHeG_ku1ELsFXEmTL_AMGQSadirZ4SqrNA==&xkcb=SoA5-_M3YWtxa3wk9B0LbzkdCdPP&p=0&fvj=1&vjs=3","Hybrid","Full-time","MSBA"
"44","e5c7a1bb6d6b6725a2f90c38e17656ff","https://www.indeed.com/rc/clk?jk=6a407542cd1989a2&fccid=1174e11d97fd620e&vjs=3","On-site","Part-time","MSIS"
"45","d69f797d227f987b49a0fe559af7bf03","https://www.indeed.com/rc/clk?jk=7b0159b0a5c5e496&fccid=185f52b7774aa2e8&vjs=3","Remote","Part-time","MSCM"
"46","632d4e2aca10224713792e624c08ba1e","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DKYEYS6AaSgPeXyWAkdM8_YPNZv0Ej8KjQCXpwSuT3KN5h05DBiQlmBf-mfh9BB28cyAoPD5I-h6DRm2wGpaJKQ69YPEStTy3uTNqJQAIzu1-9KyXDY4qUBn_LbFgAbHvtSzvHZwrLI34fKWyRF2-Ipm9_uHM8XMWaalNdzQpweEq6zGABjLnCJOEhjI-bcCVirbffgCrTg3n6qXuTFQ3L_G5dPl_74e6sbxN1Mw89f3hjudqio4HAHDcPQ_TyQRH5HDcmHl3Z8hKVp4pCs0aRdIWtU9g2FjzCu7Lhpm2IB-Bg0faK7ugTw5cT5yzFCXeY3OhdDJIO0LvdYXuxWYSc_KFwNY6Lxi1NtyXOl-8MMb80RUWchbfNsBL6_5sxEKXVJzsGfn6sxp8odxa-hFA_20Ct-N2_WDWM5KjGg8OjUMdQdiHs13WPiYbMBfXHswMx3cNtbQlvk4opwoY304u2MHsNCDAow0NsWiUfr23MaDgVUuPaHohISvWe_JYkmFR99JegeEtdKuKl-uPGZGBU_uNJS6CRY-LhaBtt6-iFvPyg_zlbZn82SmCzzV8dlPXP8mlDVY2tyR4Y4myt-Ez44VKeYzYXilk9-VfWWuqW0A==&xkcb=SoCG-_M3YWtkhrwk9B0LbzkdCdPP&p=8&fvj=0&vjs=3","On-site","Part-time","MSCM"
"47","23725140d8e511e72cb94785ad60a0a9","https://www.indeed.com/rc/clk?jk=6c52560b7493bc32&fccid=dbfa0628efe7b5d8&vjs=3","Remote","Part-time","MSIS"
"48","6cef56e966d79e7a6d80781bc2a5c6c1","https://www.indeed.com/rc/clk?jk=827cc5cee8a02192&fccid=22f7723149a6108e&vjs=3","Remote","Part-time","MSIS"
"49","f77a91f1454a71a89d17ec0a0754f7ec","https://www.indeed.com/rc/clk?jk=122cd22063ba4485&fccid=cf4c744760f4998e&vjs=3","On-site","Part-time","MSIS"
"50","6833062421f4a1fac5cda96be8324ed8","https://www.indeed.com/rc/clk?jk=71966c250f143763&fccid=ba07516c418dda52&vjs=3","On-site","Part-time","MSCM"
"51","2c34dbef611d4cff847ef37612a74f6f","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_rOR36Gvk_CJq-cXVMk_EfLL3YILv7-o1rmNyHeomS3LSjiduIbZPUwXCp1KgM8qJUAqPDUjqTu_UzAbjKn86PsIB2YM24AXboQLdQlyi3dllIUoipAQg6AeBse9TEoSSvTv0seKg7tkmowpgBQg6enCJy9dHoSgn-NhnzUYCz2dLdolZwXAxA5G7uZj0zo26zklEWkY1Rb2QP80KKVXBUOC1CXQHLgKkioV0ZAT1u1t6S_2Xsv5vrB2N6R_L8m1zuhLyLREuHqGyOENxpsw_2i9-R8ingTFykQ2AHOVmzpSxJwLz6Wi-oTNiZi0y7obSrrOmxkONaOSrhHNjoJyQ-q27iuNWxyl-DRxEJ1Aps_TTMzWm6qvFX317sVQpDw1omvfrUGMaSoF7xoFhSsSHJhlBiFX7UaBM06gPVMQ89EY7HP0IHcB7&xkcb=SoB_-_M3YWt78k0iTJ0JbzkdCdPP&p=3&fvj=0&vjs=3","On-site","Part-time","MSIS"
"52","848e0075d2e1ed432118e192cdce657f","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCqc7l59ErwqckvFkfLr2hCGuRt9-I-IRQq7LS3aTyJ8gidLm0PUvXXWN0m8A0TkEJ4Rwgv5AIShcYEJwOHJUF3S88NNfVVsYfsl6FEz6cFxHMMHO_7nRIvvsGuLFzvE867dLMzLFYQXArlzbSSPLEdw2w9aA-v5LC1DIaT8ao03p9e8u1X2hVQx-0yfGCFd2-T8GZtrqVZNGdMCGsojoargw7o0F7nhiH5VWE1PhxggwPulTJlcitFwdHs2pO30YP_zZ1nOQ9V1x0wAcT1Jxu1pLXLkDjOZW30L2FSfajQXOarnst8CXWBRSNs20KyMsV24A6TqydoBaSjwIriD8LuYIpvz_LUG9uQrnczhNvu8hAYsae-eWsYAynSvj2AUyroBfp9PRMDBdyRT6fFRXWxZJqF0HNtacFGOectCA8Hn4PnS18DvZEEn7kd6eu2EUJ7deldsVtrKHDXB4-wNnXfhTIzbTq58p7A==&xkcb=SoAb-_M3YWtkhrwk9B0IbzkdCdPP&p=9&fvj=0&vjs=3","On-site","Part-time","MSCM"
"53","128eb3dd5b27fb240aea6460488f028b","https://www.indeed.com/rc/clk?jk=eaf426c318a4fc9b&fccid=056b2e374b1663c1&vjs=3","Hybrid","Part-time","MSIS"
"54","540bb436ac6d554793b659b353d6cf41","https://www.indeed.com/rc/clk?jk=596f8446c045bca4&fccid=2dd390c3a48a7ed0&vjs=3","On-site","Part-time","MSCM"
